Tiempo de autenticación,Tiempo de actualización,Perdida,Uso de CPU,Numero thread
269126,303906,false,-1.0,dlg 433: ,
527987,431057,false,-1.0,dlg 434: ,
487505,411670,false,-1.0,dlg 435: ,
200133,194431,false,-1.0,dlg 436: ,
192151,193292,false,-1.0,dlg 437: ,
597550,194432,false,-1.0,dlg 438: ,
195002,198423,false,-1.0,dlg 439: ,
188730,196712,false,-1.0,dlg 440: ,
191581,203554,false,-1.0,dlg 441: ,
199563,210967,false,-1.0,dlg 442: ,
193291,191580,false,-1.0,dlg 443: ,
439609,200704,false,-1.0,dlg 444: ,
185309,198993,false,-1.0,dlg 445: ,
339258,192721,false,-1.0,dlg 446: ,
263994,346100,false,-1.0,dlg 447: ,
393425,602681,false,-1.0,dlg 448: ,
487505,622067,false,-1.0,dlg 449: ,
503470,443600,false,-1.0,dlg 450: ,
465267,764612,false,-1.0,dlg 451: ,
490355,869525,false,-1.0,dlg 452: ,
467548,876938,false,-1.0,dlg 453: ,
542812,458426,false,-1.0,dlg 454: ,
192721,184169,false,-1.0,dlg 455: ,
193861,195002,false,-1.0,dlg 456: ,
195001,206405,false,-1.0,dlg 457: ,
195572,202414,false,-1.0,dlg 458: ,
195572,195572,false,-1.0,dlg 459: ,
182458,199563,false,-1.0,dlg 460: ,
188730,198993,false,-1.0,dlg 461: ,
453863,875228,false,-1.0,dlg 462: ,
474390,1504707,false,-1.0,dlg 463: ,
521715,3604682,false,-1.0,dlg 464: ,
699042,783428,false,-1.0,dlg 465: ,
409960,189300,false,-1.0,dlg 466: ,
213818,192721,false,-1.0,dlg 467: ,
197283,201844,false,-1.0,dlg 468: ,
171054,139694,false,-1.0,dlg 469: ,
205835,107194,false,-1.0,dlg 470: ,
294213,204124,false,-1.0,dlg 471: ,
267415,193292,false,-1.0,dlg 472: ,
196712,206406,false,-1.0,dlg 473: ,
353512,282239,false,-1.0,dlg 474: ,
195002,193862,false,-1.0,dlg 475: ,
197853,225222,false,-1.0,dlg 476: ,
187019,193862,false,-1.0,dlg 477: ,
192721,187589,false,-1.0,dlg 478: ,
190441,196712,false,-1.0,dlg 479: ,
197853,198993,false,-1.0,dlg 480: ,
192151,184168,false,-1.0,dlg 481: ,
197283,210397,false,-1.0,dlg 482: ,
195002,202985,false,-1.0,dlg 483: ,
196142,192151,false,-1.0,dlg 484: ,
2877132,4308855,false,-1.0,dlg 485: ,
197283,194431,false,-1.0,dlg 486: ,
374609,202414,false,-1.0,dlg 487: ,
443031,1030887,false,-1.0,dlg 488: ,
576453,797683,false,-1.0,dlg 489: ,
203555,191011,false,-1.0,dlg 490: ,
196712,193862,false,-1.0,dlg 491: ,
187589,188729,false,-1.0,dlg 492: ,
194432,188729,false,-1.0,dlg 493: ,
339828,272546,false,-1.0,dlg 494: ,
181887,197282,false,-1.0,dlg 495: ,
185879,191581,false,-1.0,dlg 496: ,
350090,248028,false,-1.0,dlg 497: ,
193291,192151,false,-1.0,dlg 498: ,
479522,808516,false,-1.0,dlg 499: ,
428776,857552,false,-1.0,dlg 500: ,
184168,196712,false,-1.0,dlg 501: ,
187589,185879,false,-1.0,dlg 502: ,
187020,200704,false,-1.0,dlg 503: ,
651716,269125,false,-1.0,dlg 504: ,
414521,275398,false,-1.0,dlg 505: ,
211537,192151,false,-1.0,dlg 506: ,
411671,115176,false,-1.0,dlg 507: ,
187019,183598,false,-1.0,dlg 508: ,
187019,205835,false,-1.0,dlg 509: ,
476101,1187686,false,-1.0,dlg 510: ,
418512,236625,false,-1.0,dlg 511: ,
193291,215529,false,-1.0,dlg 512: ,
145396,193861,false,-1.0,dlg 513: ,
267984,190441,false,-1.0,dlg 514: ,
254301,1235582,false,-1.0,dlg 515: ,
187019,191581,false,-1.0,dlg 516: ,
167633,140264,false,-1.0,dlg 517: ,
549654,875797,false,-1.0,dlg 518: ,
417373,910578,false,-1.0,dlg 519: ,
419083,2511646,false,-1.0,dlg 520: ,
195002,192721,false,-1.0,dlg 521: ,
342678,257151,false,-1.0,dlg 522: ,
259432,254301,false,-1.0,dlg 523: ,
189300,191581,false,-1.0,dlg 524: ,
264563,264564,false,-1.0,dlg 525: ,
450443,838165,false,-1.0,dlg 526: ,
186449,294213,false,-1.0,dlg 527: ,
183029,187589,false,-1.0,dlg 528: ,
193861,195572,false,-1.0,dlg 529: ,
189300,191581,false,-1.0,dlg 530: ,
184168,189300,false,-1.0,dlg 531: ,
193291,192721,false,-1.0,dlg 532: ,
187589,189870,false,-1.0,dlg 533: ,
191581,195001,false,-1.0,dlg 534: ,
185309,184738,false,-1.0,dlg 535: ,
184739,192721,false,-1.0,dlg 536: ,
358073,127150,false,-1.0,dlg 537: ,
464697,831324,false,-1.0,dlg 538: ,
465267,894044,false,-1.0,dlg 539: ,
193861,189870,false,-1.0,dlg 540: ,
183028,189870,false,-1.0,dlg 541: ,
200704,189870,false,-1.0,dlg 542: ,
189870,193291,false,-1.0,dlg 543: ,
178467,184739,false,-1.0,dlg 544: ,
202984,118027,false,-1.0,dlg 545: ,
189871,192151,false,-1.0,dlg 546: ,
263994,255441,false,-1.0,dlg 547: ,
